MGI_ID	homozygosity	viability_by_pup_numbers	E95_outcome_on_.aliveHOMS	E125_outcome_on_.aliveHOMS	E145_outcome_on_.aliveHOMS	E185_outcome_on_.aliveHOMS	Window	E9.5_split	E12.5_split	E14.5.E15.5_split	E18.5_split	Window_Category	HGNC_ID	Avana_mean_045	Avana_mean
MGI:3026965	Homozygous	Lethal	no_e95_data	Subviable	Subviable	Insufficient numbers to make a call	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:23526	Non-essential	-0.058000468
MGI:1351351	Homozygous	Lethal	no_e95_data	Subviable	Subviable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:1514	Non-essential	-0.044966756
MGI:2144157	Homozygous	Lethal	no_e95_data	Subviable	Subviable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:12621	Non-essential	0.032123416
MGI:107460	Homozygous	Lethal	no_e95_data	Viable	Subviable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:2280	Non-essential	-0.250584853
MGI:107979	Homozygous	Lethal	no_e95_data	Viable	Subviable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:6321	Non-essential	0.006928791
MGI:109529	Homozygous	Lethal	no_e95_data	Viable	Subviable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:9964	Non-essential	-0.357704799
MGI:1920942	Homozygous	Lethal	no_e95_data	Viable	Subviable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:25801	Non-essential	-0.138552611
MGI:2145317	Homozygous	Lethal	no_e95_data	Viable	Subviable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:25818	Non-essential	0.029134875
MGI:2652847	Homozygous	Lethal	no_e95_data	Viable	Subviable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:19027	Non-essential	-0.02681427
MGI:94869	Homozygous	Lethal	no_e95_data	Viable	Subviable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:2701	Non-essential	0.108936234
MGI:1194993	Homozygous	Lethal	no_e95_data	Viable	Viable	Insufficient numbers to make a call	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:3037	Non-essential	-0.002030309
MGI:2682307	Homozygous	Lethal	no_e95_data	Viable	Viable	Insufficient numbers to make a call	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:25555	Non-essential	0.086302287
MGI:88107	Homozygous	Lethal	no_e95_data	Viable	Viable	Insufficient numbers to make a call	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:801	Non-essential	-0.138281776
MGI:102519	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:2475	Non-essential	-0.176892851
MGI:109347	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:6724	Non-essential	0.031107918
MGI:1195985	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:1554	Non-essential	0.023446938
MGI:1197012	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:303	Non-essential	-0.204913813
MGI:1276109	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:2032	Non-essential	0.013372885
MGI:1309469	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:1513	Non-essential	-0.183355761
MGI:1337104	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:3522	Non-essential	0.127514281
MGI:1343085	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:11254	Non-essential	-0.021075779
MGI:1353633	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:4010	Non-essential	-0.091409957
MGI:1915091	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:20962	Non-essential	-0.102577084
MGI:1916161	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:30257	Non-essential	-0.170000082
MGI:1916987	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:21586	Non-essential	-0.089621346
MGI:1917167	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:28412	Non-essential	-0.133010628
MGI:1919257	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:24670	Non-essential	-0.028520267
MGI:1921293	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:22965	Non-essential	-0.26912571
MGI:1921462	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:23247	Non-essential	-0.067201512
MGI:1923799	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	NA	NA	NA
MGI:1927753	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:21474	Non-essential	-0.062589833
MGI:1928948	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:30386	Non-essential	-0.037193647
MGI:1930088	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:17412	Non-essential	0.084259148
MGI:2141101	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:18423	Non-essential	0.194618986
MGI:2147616	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:23077	Non-essential	-0.085673219
MGI:2445208	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:21478	Non-essential	-0.063526392
MGI:2682305	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:18118	Non-essential	0.134837001
MGI:2685844	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:13997	Non-essential	-0.032896402
MGI:3528383	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:9529	Non-essential	0.060477177
MGI:3584043	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:26594	Non-essential	0.009245959
MGI:88289	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:1552	Non-essential	-0.014191707
MGI:88421	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:2085	Non-essential	-0.325424433
MGI:96269	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:9847	Non-essential	-0.312942258
MGI:96770	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:6551	Non-essential	0.043269902
MGI:96788	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:6597	Non-essential	-0.014413633
MGI:97383	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:8031	Non-essential	0.032252186
MGI:97496	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:8634	Non-essential	0.002569349
MGI:97815	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:9681	Non-essential	0.057050808
MGI:98250	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:10591	Non-essential	0.00155858
MGI:98727	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:11769	Non-essential	-0.02630904
MGI:98960	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:12785	Non-essential	0.052460764
MGI:98970	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:12801	Non-essential	-0.083891468
MGI:99960	Homozygous	Lethal	no_e95_data	Viable	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:3508	Essential	-0.791651984
MGI:1922941	Homozygous	Lethal	Viable	no_e125_data	Subviable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:26724	Non-essential	-0.358251459
MGI:1913761	Homozygous	Lethal	Viable	no_e125_data	Viable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:24511	Non-essential	-0.382967259
MGI:97788	Homozygous	Lethal	Viable	Viable	Conflicting: Viable | Subviable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:9577	Non-essential	-0.177961942
MGI:2145950	Homozygous	Lethal	Viable	Viable	Subviable	no_e185_data	After E14.5/E15.5	After E9.5	After E12.5	After E14.5/E15.5		Late-gestation	HGNC:30377	Non-essential	-0.081041145
MGI:104723	Homozygous	Lethal	no_e95_data	Conflicting: Subviable | Viable	Viable	Viable	After E18.5	After E9.5	After E12.5	After E14.5/E15.5	After E18.5	Late-gestation	HGNC:3687	Non-essential	0.033572178
MGI:1891434	Homozygous	Lethal	no_e95_data	Insufficient numbers to make a call	no_e145_data	Subviable	After E18.5	After E9.5	After E12.5	After E14.5/E15.5	After E18.5	Late-gestation	HGNC:15580	Essential	-0.490939144
MGI:108426	Homozygous	Lethal	no_e95_data	Insufficient numbers to make a call	no_e145_data	Viable	After E18.5	After E9.5	After E12.5	After E14.5/E15.5	After E18.5	Late-gestation	HGNC:16636	Non-essential	-0.14164579
MGI:1270862	Homozygous	Lethal	no_e95_data	Insufficient numbers to make a call	no_e145_data	Viable	After E18.5	After E9.5	After E12.5	After E14.5/E15.5	After E18.5	Late-gestation	HGNC:904	Non-essential	-0.025059793
MGI:1338027	Homozygous	Lethal	no_e95_data	Insufficient numbers to make a call	no_e145_data	Viable	After E18.5	After E9.5	After E12.5	After E14.5/E15.5	After E18.5	Late-gestation	HGNC:4216	Non-essential	-0.197190587
MGI:1345283	Homozygous	Lethal	no_e95_data	Insufficient numbers to make a call	no_e145_data	Viable	After E18.5	After E9.5	After E12.5	After E14.5/E15.5	After E18.5	Late-gestation	HGNC:10979	Non-essential	-0.257824554
MGI:1916165	Homozygous	Lethal	no_e95_data	Insufficient numbers to make a call	no_e145_data	Viable	After E18.5	After E9.5	After E12.5	After E14.5/E15.5	After E18.5	Late-gestation	HGNC:21642	Essential	-0.561672065
MGI:1917347	Homozygous	Lethal	no_e95_data	Insufficient numbers to make a call	no_e145_data	Viable	After E18.5	After E9.5	After E12.5	After E14.5/E15.5	After E18.5	Late-gestation	HGNC:19182	Non-essential	0.168610844
MGI:1924295	Homozygous	Lethal	no_e95_data	Insufficient numbers to make a call	no_e145_data	Viable	After E18.5	After E9.5	After E12.5	After E14.5/E15.5	After E18.5	Late-gestation	HGNC:1004	Non-essential	-0.01579437
MGI:2140361	Homozygous	Lethal	no_e95_data	Insufficient numbers to make a call	no_e145_data	Viable	After E18.5	After E9.5	After E12.5	After E14.5/E15.5	After E18.5	Late-gestation	HGNC:20800	Non-essential	-0.216637855
MGI:2146388	Homozygous	Lethal	no_e95_data	Insufficient numbers to make a call	no_e145_data	Viable	After E18.5	After E9.5	After E12.5	After E14.5/E15.5	After E18.5	Late-gestation	HGNC:29119	Non-essential	-0.128263668
MGI:2159402	Homozygous	Lethal	no_e95_data	Insufficient numbers to make a call	no_e145_data	Viable	After E18.5	After E9.5	After E12.5	After E14.5/E15.5	After E18.5	Late-gestation	HGNC:18287	Non-essential	0.047072
MGI:2443582	Homozygous	Lethal	no_e95_data	Insufficient numbers to make a call	no_e145_data	Viable	After E18.5	After E9.5	After E12.5	After E14.5/E15.5	After E18.5	Late-gestation	HGNC:23	Non-essential	-0.05134624
MGI:3781032	Homozygous	Lethal	no_e95_data	Insufficient numbers to make a call	no_e145_data	Viable	After E18.5	After E9.5	After E12.5	After E14.5/E15.5	After E18.5	Late-gestation	HGNC:6259	Non-essential	-0.013103322
MGI:99607	Homozygous	Lethal	no_e95_data	Insufficient numbers to make a call	no_e145_data	Viable	After E18.5	After E9.5	After E12.5	After E14.5/E15.5	After E18.5	Late-gestation	HGNC:29	Non-essential	-0.039415526
MGI:1277991	Homozygous	Lethal	no_e95_data	no_e125_data	no_e145_data	Viable	After E18.5	After E9.5	After E12.5	After E14.5/E15.5	After E18.5	Late-gestation	HGNC:2663	Non-essential	-0.068115979
MGI:1345162	Homozygous	Lethal	no_e95_data	no_e125_data	no_e145_data	Viable	After E18.5	After E9.5	After E12.5	After E14.5/E15.5	After E18.5	Late-gestation	HGNC:202	Non-essential	0.037156438
